,Distance_0,Distance_1,Distance_2,Distance_3,Distance_4,Distance_5,Distance_6,Distance_7,Distance_8,Distance_9,Angle_0,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9
Fist,0.40395216294846087,0.04206251951288603,0.05873041330556531,0.059205329724420566,0.8295418766763315,0.0075522947311401365,0.14572114646588633,0.024293839689593602,0.015699362819772897,0.14572114646588633,0.14136464311363175,0.24968847645308695,0.4192992542413739,0.1423729945993011,0.2755437085460243,0.4161376227328775,0.13893941765005027,0.3030591770398614,0.20101678697120648,1.2630933758807585
Wolf,0.1560215696351419,0.2135541980306178,0.12398266378630846,0.20993476164876068,0.9133314058500615,0.020119656324386597,0.7985506050717529,0.2262990148300214,0.10774029966497667,0.7985506050717529,0.8947320725536959,1.014983808954171,1.5293077333455125,0.1039309334821064,0.23789240521200156,0.7458824877805708,0.14379915792772155,0.6491864657812765,0.5177080099790936,2.0851760752328
