,Hand1_Feature_0,Hand1_Feature_1,Hand1_Feature_2,Hand1_Feature_3,Hand1_Feature_4,Hand1_Feature_5,Hand1_Feature_6,Hand1_Feature_7,Hand1_Feature_8,Hand1_Feature_9,Hand1_Feature_10,Hand1_Feature_11,Hand1_Feature_12,Hand1_Feature_13,Hand1_Feature_14,Hand1_Feature_15,Hand1_Feature_16,Hand1_Feature_17,Hand1_Feature_18,Hand1_Feature_19
Bird,0.15173491268852532,0.2270865456133095,0.2485850014792805,1.223349077027418,0.01491227611899376,0.045548960864543915,-0.1181684147566557,0.4310506484167579,0.3731335625855056,0.11947706484154874,0.2536564977439569,-0.015001398790627719,0.045548960864543915,-0.1181684147566557,0.25570173107472594,0.26106249464549847,0.1327091196551919,0.18073672685412842,-0.015001398790627719,0.4174878778113167
Frog,0.2529285110633063,0.2029502166344791,0.21773138069843173,1.1695048746438643,0.04372208058834076,0.1998928353190422,0.08321848183870316,0.5358952647044033,0.3773674127256845,0.2730021939540496,0.10436521877163486,0.14451977990567685,0.1998928353190422,0.08321848183870316,0.18161916549386622,0.18522903958010187,0.03998682655394077,0.10525370140721685,0.14451977990567685,-0.010878066689554986
Goose,0.38537873325026817,0.1915513226701948,0.1658053365933899,1.0175651659975775,0.037409903407096864,0.02922897219657898,-0.1534888242185116,0.4543454373146357,0.3595420923837054,0.11002852843090105,0.24951356395280427,-0.044442154690623285,0.02922897219657898,-0.1534888242185116,0.1638143299915458,0.17774200504543344,0.1474188755825162,0.17897907890993817,-0.044442154690623285,0.041253528095810045
Owl,0.23054041723194843,0.1596841917347287,0.16585613935570728,0.9134595896706859,0.016924631595611573,0.19619132176041604,0.0029677680134773256,0.11184580201840712,0.2972929939177362,0.10366829726410011,0.19362469665363616,0.05734298013150692,0.19619132176041604,0.0029677680134773256,0.10029290132491861,0.06179902260154978,-0.18789195355027913,0.23979373270905263,0.05734298013150692,0.7458127556653276
